TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
35,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.03333,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.08889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.12222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.14444,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.17778,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.21111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.24445,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.26667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.33334,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.36667,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.38889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.42222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.45555,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.48889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.55556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.58889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.62222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
35.65556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
